,Unnamed: 0,apartment_number,total_area,house_number,residents_number,owner_name
1700,1700,9,57.21397200280797,7,4,Васильева Алина Валентиновна
1701,1701,58,49.87163719238979,3,2,Антонина Владиславовна Селезнева
1702,1702,62,46.44499613184091,11,0,Марфа Алексеевна Гордеева
1703,1703,7,63.60034677874161,2,3,Гурьев Фадей Тихонович
1704,1704,61,55.87263175503208,9,9,Лора Юльевна Белова
1705,1705,1,81.2770151814535,7,1,Пахомова Вероника Вячеславовна
1706,1706,23,43.09187072223918,24,2,Вера Филипповна Орлова
1707,1707,94,50.832961756788364,11,6,Митофан Адамович Суханов
1708,1708,2,55.592249257606994,15,9,Адам Гурьевич Галкин
1709,1709,42,41.5121401944562,5,0,Антонина Семеновна Захарова
1710,1710,1,39.4526967860676,11,1,Лукия Яковлевна Федосеева
1711,1711,27,50.98128263044811,25,0,Колесников Боян Ильясович
1712,1712,9,50.47630720816535,10,4,Кира Максимовна Богданова
1713,1713,124,102.55681684569672,15,0,Октябрина Кузьминична Зайцева
1714,1714,93,40.95444758995277,6,3,Валентина Васильевна Симонова
1715,1715,41,62.5481799080117,10,0,Матвеев Артем Викторович
1716,1716,57,41.56882754296056,2,15,Михеев Зиновий Иларионович
1717,1717,14,40.921711987260174,11,5,Агафонов Фадей Эдгардович
1718,1718,66,52.23200090949245,6,7,Копылов Роман Аверьянович
1719,1719,44,79.38456080212245,10,3,Вишнякова Майя Олеговна
1720,1720,88,39.10870643839171,12,9,Дементьева Людмила Игоревна
1721,1721,94,60.60687263492429,5,0,Синклитикия Тимофеевна Хохлова
1722,1722,23,79.22329394358496,6,0,Терентьев Афанасий Валерианович
1723,1723,64,63.36341257046213,3,11,Архипова Марфа Ефимовна
1724,1724,27,62.794698718799815,9,0,Орехов Варфоломей Арсеньевич
1725,1725,94,47.16191119148883,7,0,Софон Фролович Матвеев
1726,1726,27,119.91498998118117,8,0,Колесников Сильвестр Артемьевич
1727,1727,58,35.83833076349031,7,2,Коновалова Виктория Леоновна
1728,1728,90,35.90518996487463,5,3,Рогова Марфа Львовна
1729,1729,6,42.71734942353417,13,0,Пахом Васильевич Назаров
1730,1730,21,34.49938515064366,2,4,Казаков Рюрик Архипович
1731,1731,6,82.8829783041893,8,0,Архипов Лазарь Аверьянович
1732,1732,119,46.00150605156442,6,5,Исакова Лора Анатольевна
1733,1733,6,49.14997807271313,15,0,Дмитриев Потап Артёмович
1734,1734,6,38.87433524783637,5,0,Большаков Ладимир Даниилович
1735,1735,199,71.10920566393506,4,5,Юлиан Вилорович Беляев
1736,1736,23,41.37501849889052,16,2,Гостомысл Афанасьевич Семенов
1737,1737,46,87.03632909231582,11,1,Антонина Алексеевна Моисеева
1738,1738,27,81.38055288863076,13,0,Кузнецов Карл Жоресович
1739,1739,30,63.09665515823187,2,23,Самсон Валентинович Лыткин
1740,1740,187,57.54329756877586,9,4,Беляева Любовь Дмитриевна
1741,1741,85,63.12678084567295,2,7,Савин Владилен Викентьевич
1742,1742,44,77.45699281264424,2,1,Гордеева Эмилия Владимировна
1743,1743,100,59.9610518875031,11,0,Ладимир Демидович Красильников
1744,1744,136,58.07326065320977,21,5,Мариан Герасимович Трофимов
1745,1745,27,41.26748723667849,4,0,Андреева Милица Мироновна
1746,1746,30,108.13758683379824,5,23,Анжелика Эльдаровна Павлова
1747,1747,43,35.094211623218435,4,8,Рогова Александра Вениаминовна
1748,1748,23,41.637175535320594,5,0,Голубев Устин Теймуразович
1749,1749,23,44.1280117548688,7,2,Любомир Матвеевич Фомичев
1750,1750,84,45.51930172629391,6,1,Эрнст Антонович Ситников
1751,1751,23,37.47898117109783,4,0,Лукия Романовна Кабанова
1752,1752,119,79.30005531507634,2,5,Афиноген Федосеевич Селиверстов
1753,1753,53,58.60339825341524,7,3,Миронов Аверкий Трофимович
1754,1754,23,52.0353156352596,6,0,Тамара Ильинична Никитина
1755,1755,7,44.09505518446634,5,9,Родионова Октябрина Степановна
1756,1756,6,43.085939764682095,10,0,Юрий Аверьянович Зуев
1757,1757,23,53.19831651495485,3,0,Милан Захарьевич Бобров
1758,1758,17,38.59578191593378,14,2,Трифон Дмитриевич Комиссаров
1759,1759,25,82.8161969811467,19,11,Третьякова Элеонора Рудольфовна
1760,1760,63,41.27553778947208,4,6,Оксана Афанасьевна Мартынова
1761,1761,93,50.479538362318095,4,3,Наина Станиславовна Бобылева
1762,1762,1,40.01980966511245,6,1,Алина Степановна Михеева
1763,1763,132,36.18243692598043,8,19,Бирюкова Евпраксия Юрьевна
1764,1764,69,74.50082183694633,8,2,Вадим Антипович Большаков
1765,1765,11,57.57072492622444,4,4,Тихонова Анна Макаровна
