,apartment_number,Rooms,total_area,house_number,residents_number,owner_name
0,35,2.0,47.98156123517504,7,11,Кононов Максим Игнатович
1,41,3.0,65.68363987232782,7,16,Суворов Харитон Жанович
2,53,2.0,44.947952764125,8,3,Анна Кузьминична Жукова
3,58,2.0,53.35298135561334,8,5,Шашков Селиверст Терентьевич
4,99,1.0,39.64919195003,11,4,Раиса Аскольдовна Суворова
5,59,3.0,80.38447920267191,5,6,Зиновьев Константин Викентьевич
6,154,2.0,62.2541135864025,3,5,Марфа Харитоновна Савельева
7,74,2.0,80.31292563185586,14,2,Евдокимов Кузьма Борисович
8,1,2.0,64.51143730838427,9,1,Прасковья Семеновна Сысоева
9,23,1.0,46.46140869718414,13,2,Мамонтова Евдокия Мироновна
10,28,2.0,46.304906773325854,8,0,Ефимова Валентина Вениаминовна
11,31,3.0,68.80885909839964,1,4,Рябов Ермолай Феофанович
12,13,2.0,54.522804902937104,8,15,Ларионов Мина Трифонович
13,57,3.0,68.10273923286483,6,4,Савелий Виленович Фомин
14,27,1.0,53.76909713652528,5,0,Кулакова Иванна Егоровна
15,85,3.0,73.6122247317727,4,7,Ия Евгеньевна Осипова
16,27,2.0,49.360647800323534,6,0,Дорофеева Эмилия Геннадиевна
17,34,2.0,57.96996422253015,6,11,Майя Эдуардовна Бирюкова
18,57,1.0,44.51348081256669,6,4,Алина Львовна Ермакова
19,19,3.0,110.95979224728354,16,9,Гусев Изяслав Антипович
20,0,3.0,103.60529197422832,12,8,Осипова Милица Даниловна
21,27,2.0,64.71183493873933,15,1,Меркушева Антонина Альбертовна
22,48,1.0,41.66864965650633,19,10,Андроник Федосеевич Борисов
23,54,3.0,118.90761184257369,2,6,Мишин Юлий Антонович
24,150,3.0,62.18053598937177,4,5,Лора Антоновна Мухина
25,74,2.0,82.66791473448255,16,2,Татьяна Борисовна Титова
26,27,3.0,106.95887123511147,17,0,Александра Робертовна Сафонова
27,23,2.0,64.55620925344805,8,2,Беляков Гедеон Елизарович
28,23,1.0,42.530043258688565,3,0,Петухова Майя Вячеславовна
29,11,2.0,48.37223191245333,4,1,Фотий Игоревич Сидоров
30,50,2.0,39.43535081853332,9,19,Фёкла Романовна Никитина
31,61,1.0,41.7651555000357,12,9,Лора Ждановна Колобова
32,27,2.0,63.67911598308709,9,0,Бирюкова София Васильевна
33,44,1.0,34.767226881668705,7,1,Онуфрий Владиленович Нестеров
34,90,2.0,42.17678220950819,2,2,Зинаида Матвеевна Федотова
35,200,3.0,85.28038875664878,6,5,Жанна Архиповна Кошелева
36,23,1.0,41.11876598003856,4,2,Юлия Ниловна Щукина
37,43,2.0,43.70166178867073,5,8,Шаров Мирослав Ефимьевич
38,177,3.0,77.8739361356098,9,2,Аксенова Галина Ефимовна
39,23,2.0,60.503248324677,16,0,Сазонова Иванна Максимовна
40,99,2.0,45.25713880537702,4,8,Белозеров Борис Августович
41,101,3.0,58.4198155580721,5,2,Мария Геннадиевна Федосеева
42,1,2.0,56.49431782042168,9,1,Ратибор Бориславович Ильин
43,23,2.0,58.692132931238426,16,2,Одинцов Эмиль Юлианович
44,38,3.0,104.21139562017449,20,7,Руслан Юлианович Тарасов
45,21,2.0,48.85174210675612,5,5,Валентин Авдеевич Дементьев
46,23,2.0,49.92948862213306,9,0,Людмила Георгиевна Лаврентьева
47,103,1.0,41.53813827372754,7,3,Назар Теймуразович Гришин
48,23,1.0,47.08010024748141,3,0,Фомичева Эмилия Робертовна
49,98,1.0,41.27061351984075,8,2,Аполлинарий Филатович Комиссаров
50,170,1.0,35.39023537965956,3,7,Потапова Ксения Рубеновна
